common_name,canonical_name,scientific_name,group,file,transparent_file,public_path
接吻鱼,Helostoma temminkii,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_01_接吻鱼__Helostoma_temminkii.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_01_接吻鱼_Helostoma_temminkii.png,/species-transparent/batch_003_species_sheet_01_接吻鱼_Helostoma_temminkii.png?v=cutfix4_20260510
七彩神仙,Symphysodon aequifasciatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_02_七彩神仙__Symphysodon_aequifasciatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_02_七彩神仙_Symphysodon_aequifasciatus.png,/species-transparent/batch_003_species_sheet_02_七彩神仙_Symphysodon_aequifasciatus.png?v=cutfix4_20260510
荷兰凤凰,Mikrogeophagus ramirezi,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_03_荷兰凤凰__Mikrogeophagus_ramirezi.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_03_荷兰凤凰_Mikrogeophagus_ramirezi.png,/species-transparent/batch_003_species_sheet_03_荷兰凤凰_Mikrogeophagus_ramirezi.png?v=cutfix4_20260510
阿卡西短鲷,Apistogramma agassizii,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_04_阿卡西短鲷__Apistogramma_agassizii.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_04_阿卡西短鲷_Apistogramma_agassizii.png,/species-transparent/batch_003_species_sheet_04_阿卡西短鲷_Apistogramma_agassizii.png?v=cutfix4_20260510
蓝王子,Chindongo socolofi,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_05_蓝王子__Chindongo_socolofi.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_05_蓝王子_Chindongo_socolofi.png,/species-transparent/batch_003_species_sheet_05_蓝王子_Chindongo_socolofi.png?v=cutfix4_20260510
非洲王子,Labidochromis caeruleus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_06_非洲王子__Labidochromis_caeruleus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_06_非洲王子_Labidochromis_caeruleus.png,/species-transparent/batch_003_species_sheet_06_非洲王子_Labidochromis_caeruleus.png?v=cutfix4_20260510
埃及神仙,Pterophyllum altum,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_07_埃及神仙__Pterophyllum_altum.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_07_埃及神仙_Pterophyllum_altum.png,/species-transparent/batch_003_species_sheet_07_埃及神仙_Pterophyllum_altum.png?v=cutfix4_20260510
刚果美人,Phenacogrammus interruptus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_08_刚果美人__Phenacogrammus_interruptus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_08_刚果美人_Phenacogrammus_interruptus.png,/species-transparent/batch_003_species_sheet_08_刚果美人_Phenacogrammus_interruptus.png?v=cutfix4_20260510
迷你鹦鹉鱼,Amatitlania nigrofasciata,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_09_迷你鹦鹉鱼__Amatitlania_nigrofasciata.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_09_迷你鹦鹉鱼_Amatitlania_nigrofasciata.png,/species-transparent/batch_003_species_sheet_09_迷你鹦鹉鱼_Amatitlania_nigrofasciata.png?v=cutfix4_20260510
蓝宝石鱼,Andinoacara pulcher,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_003_species_sheet_10_蓝宝石鱼__Andinoacara_pulcher.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_10_蓝宝石鱼_Andinoacara_pulcher.png,/species-transparent/batch_003_species_sheet_10_蓝宝石鱼_Andinoacara_pulcher.png?v=cutfix4_20260510
地图鱼,Astronotus ocellatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_004_species_sheet_01_地图鱼__Astronotus_ocellatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_004_species_sheet_01_地图鱼_Astronotus_ocellatus.png,/species-transparent/batch_004_species_sheet_01_地图鱼_Astronotus_ocellatus.png?v=cutfix4_20260510
